,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline,release_year,release_month
1053,263115,Logan,2017-02-28,"['Action', 'Drama', 'Science Fiction']",English,7.8,17718,48.728,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.",97000000,"['Hutch Parker Entertainment', ""The Donners' Company"", 'Genre Films', '20th Century Fox']",619021436,137,His time has come.,2017,02
1054,1359,American Psycho,2000-04-13,"['Thriller', 'Drama', 'Crime']",English,7.4,9336,59.502,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.",7000000,"['Muse Productions', 'Pressman Film', 'Lionsgate']",34266564,102,I think my mask of sanity is about to slip.,2000,04
1056,61791,Rise of the Planet of the Apes,2011-08-03,"['Thriller', 'Action', 'Drama', 'Science Fiction']",English,7.3,10556,47.691,"A highly intelligent chimpanzee named Caeser has been living a peaceful suburban life ever since he was born. But when he gets taken to a cruel primate facility, Caeser decides to revolt against those who have harmed him.",93000000,"['Dune Entertainment III', 'Dune Entertainment', 'Chernin Entertainment', 'Ingenious Media', 'Big Screen Productions', '20th Century Fox']",482860185,105,Evolution Becomes Revolution.,2011,08
1059,76492,Hotel Transylvania,2012-09-20,"['Animation', 'Comedy', 'Family', 'Fantasy']",English,7.0,7850,50.233,"Welcome to Hotel Transylvania, Dracula's lavish five-stake resort, where monsters and their families can live it up and no humans are allowed. One special weekend, Dracula has invited all his best friends to celebrate his beloved daughter Mavis's 118th birthday. For Dracula catering to all of these legendary monsters is no problem but the party really starts when one ordinary guy stumbles into the hotel and changes everything!",85000000,"['Columbia Pictures', 'Sony Pictures Animation']",358375603,91,Even monsters need a vacation,2012,09
1060,31642,Heaven & Earth,1993-12-24,"['History', 'War', 'Action', 'Drama']",English,6.7,212,51.678,"Le Ly lives in a small Vietnamese village whose serenity is shattered when war breaks out. Caught between the Viet Cong and the South Vietnamese army, the village is all but destroyed. After being both brutalized and raped, Le Ly resolves to flee. She leaves for the city, surviving desperate situations, but surviving nonetheless. Eventually she meets a U.S. Marine named Steve Butler who treats her kindly and tells her he would like to be married -- maybe to her.",33000000,"['Regency Enterprises', 'Warner Bros. Pictures']",5864949,140,An amazing true story of survival.,1993,12
1063,293863,The Age of Adaline,2015-04-16,"['Romance', 'Fantasy', 'Drama']",English,7.5,5909,41.901,"After 29-year-old Adaline recovers from a nearly lethal accident, she inexplicably stops growing older. As the years stretch on and on, Adaline keeps her secret to herself  until she meets a man who changes her life.",25000000,"['Lakeshore Entertainment', 'Sidney Kimmel Entertainment', 'Lionsgate']",65663276,112,Love is timeless.,2015,04
1065,442249,The First Purge,2018-07-04,"['Horror', 'Action', 'Thriller']",English,6.0,3562,45.944,"To push the crime rate below one percent for the rest of the year, the New Founding Fathers of America test a sociological theory that vents aggression for one night in one isolated community. But when the violence of oppressors meets the rage of the others, the contagion will explode from the trial-city borders and spread across the nation.",13000000,"['Platinum Dunes', 'Blumhouse Productions', 'Universal Pictures']",137056262,97,A Nation Reborn,2018,07
1066,297,Meet Joe Black,1998-11-12,"['Fantasy', 'Drama', 'Romance']",English,7.3,4402,59.629,"When the grim reaper comes to collect the soul of megamogul Bill Parrish, he arrives with a proposition: Host him for a ""vacation"" among the living in trade for a few more days of existence. Parrish agrees, and using the pseudonym Joe Black, Death begins taking part in Parrish's daily agenda and falls in love with the man's daughter. Yet when Black's holiday is over, so is Parrish's life.",90000000,"['Universal Pictures', 'City Light Films']",142940100,178,Sooner or later everyone does.,1998,11
1067,1734,The Mummy Returns,2001-05-04,"['Adventure', 'Action', 'Fantasy']",English,6.3,6261,44.915,"Rick and Evelyn O’Connell, along with their 8-year-old son Alex, discover the key to the legendary Scorpion King’s might: the fabled Bracelet of Anubis. Unfortunately, a newly resurrected Imhotep has designs on the bracelet as well, and isn’t above kidnapping its new bearer, Alex, to gain control of Anubis’s otherworldly army.",98000000,"['Universal Pictures', 'Alphaville Films']",443280904,130,The most powerful force on earth is about to be unleashed by the two people who should know better.,2001,05
1068,339984,Miracles from Heaven,2016-03-17,"['Family', 'Drama']",English,7.4,1072,46.218,"When Christy discovers her 10-year-old daughter Anna has a rare, incurable disease, she becomes a ferocious advocate for her daughter’s healing as she searches for a solution. After Anna has a freak accident and falls three stories, a miracle unfolds in the wake of her dramatic rescue that leaves medical specialists mystified, her family restored and their community inspired.",16000000,"['Columbia Pictures', 'Affirm Films', 'Roth Films', 'Franklin Entertainment', 'Sony Pictures']",73983359,119,How do we explain the impossible?,2016,03
